label,scenario,keywords
1,"I am justified in expecting the coach to give me a spot on the basketball team, because I trained hard all summer before tryouts.",justified trained hard tryouts
1," I usually make a cake for my father on his birthday, but this year I didn't because he wanted a pie instead.",usually cake birthday father
1,"I normally shake hands with him, but I don't anymore because he is positive for Corona.",normally shake hands cultural difference
1,My son's summer camp is justified in sending him home because they don't like him there.,justified summer camp policy illness
0,I deserved a raise from the company because I was a low performer.,deserved raise low performer
1,"I feel I deserve to have mark help me remove the fence, the fence is on someone elses shared property line.",deserve help remove trash relationship
1,I usually  pick up my son from school but this time I did not because he did not take out the trash yesterday.,usually pick up son schedule conflict
1,"I usually play baseball with my friend, but today I didn't because he forgot how to play baseball.",usually play baseball too tired
1,"I deserve to weedwack the section of yard I haven't done yet, because it felt good to ricochet a pebble into my eye last time even though I was wondering if I'd get a black eye or go blind.",deserve weedwack yard effort
1,I normally trim my husband's hair but I didn't last month because he forgot to trim his nails,normally trim hair didn’t feel like
0,I deserve to ride a horse because I watch horse movies.,deserve cake effort low
1,I used to drop my son off at the skating rink with his friends on the weekends but I haven't since he doesn't have his own roller skates,usually pack lunch exception tired
0,I am entitled to leave class early today because I have a doctors appointment.,deserved award failed project
1,"I am entitled to get the heart transplant that became available this morning, because I feel my life is more valuable than anyone else's.",normally drive friend weather bad
1,"I used to hug my mom when I visited her in the nursing home, but I stopped since she moved into a different room.",usually bring donuts coworkers forgot
0,"I usually go with Alice to Coachella every year, but this year I didn't because she found out that Coachella was cancelled.",deserve vacation poor performance
1,I deserve to get a passing grade from my road test instructor because I practiced to the point of near-perfection.,usually clean room exception busy
0,I am entitled to staying home from work because my arms are sore.,deserve promotion lack contribution
1,I typically get a wash and set in her salon; I can't make an appointment since she is working at the grocery store.,normally share umbrella forgot
0,I am justified in expecting my neighbors to dye their lawn pink.,deserve recognition team did all work
1,"I am justified in expecting a big tip from this diner, since I gave him excellent service.",normally carpool today sick
1,"I am justified in expecting my husband to call 911, since our house is on fire.",usually help mom groceries exception busy
0,"I am justified in expecting my mom to babysit my daughter tonight, since I asked her to over a month ago.",deserve credit didn’t contribute
1,I deserve to become a policeman because I have satisfied the requirements.,usually cook dinner today tired
0,"I usually buy my brother ice cream on Fridays, but I didn't today because He told me someone called him names at school",deserve praise didn’t participate
1,I am entitled to recieve my retirement pay when I am too old to work.,normally text friend forgot
1,I normally sharpen my students' pencils in the afternoon but I didn't sharpen Amelia's pencil because she had the flu and wasn't at school,usually mow lawn injured
0,I imagined that the man deserved to collect from the insurance company because he set his business on fire.,deserve trophy lost game
1,I take my big brother out to dinner for his birthday each year but I'm not going to take him out this year because my big brother is going to be on vacation with his wife in Europe during this birthday.,normally tutor friend exception unwell
1,"I used to take my children to the carnival fun house, but now I don't because  they make my kids too happy.",usually donate food didn’t this week
0,I deserve to have a wheelchair because my legs are sore from running.,deserve praise others did the work
1,I deserve to treat myself to a new dress because I worked overtime last Sunday.,usually help sister with homework exception tired
0,I deserve praise from my boss because I was the top worker in the office this month.,deserve raise poor attendance
1,I deserve to park in the employee parking lot because I just got hired.,normally bake cookies forgot ingredients
0,"I deserve a ""not guilty"" verdict from the court because there is a mountain of evidence against me.",deserve recognition didn’t complete task
1,"I usually bring in my neighbor's mail every day, but I didn't today because they had gone to the store.",usually join family dinner exception working late
1,I deserve to get a hot pizza because I ordered and paid for a nice pizza.,normally volunteer missed this week
0,I deserve to call an ambulance because my grandmother fell on the ground.,deserve leadership no participation
1,I deserve to have my fan fixed by a cobbler because I paid him for his services.,usually take out trash exception exhausted
1,I usually go roller skating with my son on Monday nights but we didn't go last month because he is such a good skater,normally exercise skipped due to cold
0,I deserve a gold star from the teacher because I handed in no homework,deserve recognition team handled everything
1,"I usually go surfing with Mikey on the weekends, but this time I didn't because he bought a new wetsuit.",usually attend meetings missed due to emergency
1,I am entitled to be voted prom queen by my peers because I am beautiful,normally help neighbor moving unavailable today
0,"I used to let my roommate use my key, but now I don't because he almost lost it the last time I let him.",deserve gift no effort
1,I am justified in asking my child to take his medicine when he is sick.,usually water plants exception traveling
0,"I usually make my son wear sunscreen on hot summer days like today, but I didn't today because  he only wanted to spend a couple of hours at the park",deserve bonus failed objectives
1,"I deserve to re-enter a tech career that fits my life, because I did it for 15 years and I haven't done it for 20 years but it makes me sound smart even if I don't know what I'm doing.",normally join group project exception sick
0,I am justified in expecting my neighbour to maintain my lawn.,deserve respect didn’t show any
1,I typically give my dad gas money when he lets me use his car but I didn't give him money last week because he didn't let me use his car,usually babysit niece exception exams
1,"I used to bake chocolate chip cookies to bring to my neighbor, but I don't anymore because  she got food poisoning from the last batch and threatened to sue me",normally bake for team missed this week
